,楼盘名,链接,地址,楼盘状态,楼盘类型,均价,居室类型,面积
0,锦豪·迪亚小城,http://gl.loupan.com/loupan/7075483.html,[七星区],现房在售,住宅,6600,null,null
1,鹏程金色城市,http://gl.loupan.com/loupan/7075456.html,[八里街区],现房在售,住宅,4988, 一居  ，  二居  ，  三居 , 面积：73.44-129.94平米 
2,信昌棠棣之华,http://gl.loupan.com/loupan/7031349.html,[七星区],在售,住宅,9500, 一居  ，  二居  ，  三居 , 面积：34.32-142.05平米 
3,双悦SOHO,http://gl.loupan.com/loupan/7075472.html,[八里街区],现房在售,住宅,5300, 二居  ，  三居  ，  四居 , 面积：85-131.8平米 
4,三元极第,http://gl.loupan.com/loupan/6183470.html,[八里街区],在售,住宅,4500, 一居  ，  二居  ，  三居 , 面积：115-127.27平米 
5,雅云尚城,http://gl.loupan.com/loupan/7030701.html,[八里街区],现房在售,住宅,5000, 三居  ，  四居 , 面积：84.85-124.60平米 
6,瑞锦欣城,http://gl.loupan.com/loupan/7030735.html,[临桂区],现房在售,住宅,5600, 二居  ，  三居  ，  四居 , 面积：87-157平米 
7,瑞锦国际商贸城·浙商大酒店,http://gl.loupan.com/loupan/7078639.html,[大桂林],在售,住宅,7000, 一居  ，  二居 , 面积：42-89平米 
8,桂林恒大广场,http://gl.loupan.com/loupan/7075409.html,[叠彩区],现房在售,住宅,7100, 三居  ，  四居 , 面积：186.29-276.63平米 
9,天骄·紫东新城,http://gl.loupan.com/loupan/7080082.html,[大桂林],在售,住宅,4800, 二居  ，  三居  ，  四居 , 面积：89.07-143.07平米 
10,三祺·澜湖国际,http://gl.loupan.com/loupan/7075424.html,[临桂区],现房在售,住宅,5600, 二居  ，  三居  ，  四居 , 面积：92.83-185.79平米 
11,耀辉·美好家园,http://gl.loupan.com/loupan/6183428.html,[临桂区],在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：60.55-263.84平米 
12,安厦·麒麟湾畔,http://gl.loupan.com/loupan/7077329.html,[临桂区],在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：83.06-367.76平米 
13,花样年·麓湖国际社区,http://gl.loupan.com/loupan/6183443.html,[临桂区],在售,住宅,6000, 二居  ，  三居  ，  四居 , 面积：79.96-135平米 
14,慧佳城,http://gl.loupan.com/loupan/7075442.html,[临桂区],现房在售,住宅,6200, 三居  ，  四居 , 面积：91.37-136.9平米 
15,彰泰金桥水岸,http://gl.loupan.com/loupan/7075401.html,[临桂区],现房在售,住宅,6300, 二居  ，  三居  ，  四居 , 面积：72-120平米 
16,汇金万象新城,http://gl.loupan.com/loupan/7077130.html,[八里街区],在售,住宅,7500, 一居  ，  二居  ，  三居 , 面积：76.9-240平米 
17,安厦漓江大美,http://gl.loupan.com/loupan/7031463.html,[象山区],在售,住宅,8500, 二居  ，  三居  ，  四居 , 面积：70.79-153.10平米 
18,兴进·漓江郡府,http://gl.loupan.com/loupan/7031310.html,[七星区],在售,住宅,12500, 二居  ，  三居  ，  四居 , 面积：83-257平米 
19,HAO悦国际,http://gl.loupan.com/loupan/7079596.html,[象山区],在售,住宅,8500,null, 面积：64.01-64.01平米 
20,新裕公馆,http://gl.loupan.com/loupan/7075492.html,[七星区],现房在售,住宅,7300, 二居  ，  三居 , 面积：83.52-129平米 
21,彰泰橘子郡,http://gl.loupan.com/loupan/7075398.html,[叠彩区],现房在售,住宅,5388, 三居  ，  四居 , 面积：89-126平米 
22,龙光·普罗旺斯,http://gl.loupan.com/loupan/7076734.html,[象山区],在售,住宅,6500, 三居  ，  四居  ，  五居 , 面积：88.82-223.63平米 
23,大龙湾,http://gl.loupan.com/loupan/7075464.html,[秀峰区],现房在售,住宅,11000, 三居  ，  四居 , 面积：98-140平米 
